BOOKS,AUTHOR,PUBLISHERS,YEAR
Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,A & C Black,1955
Harry Potter and the Chamber of Secrets,J. K. Rowling,A. C. McClurg,1905
Harry Potter and the Half-Blood Prince,J. K. Rowling,A. S. Barnes,1950
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Abilene Christian University Press,1991
Harry Potter and the Order of the Phoenix,J. K. Rowling,Ablex Publishing,1985
Harry Potter and the Goblet of Fire,J. K. Rowling,Academic Press,1996
Harry Potter and the Deathly Hallows,J. K. Rowling,Ace Books,2018
The Hobbit,J. R. R. Tolkien,Addison Wesley,1940
1984,George Orwell,Adis International,1981
The Da Vinci Code,Dan Brown,Airiti Press,1975
Pride and Prejudice,Jane Austen,Akashic Books,1951
To Kill a Mockingbird,Harper Lee,Aladdin Paperbacks,1908
The Catcher in the Rye,J. D. Salinger,Alfred A. Knopf,1983
The Great Gatsby,F. Scott Fitzgerald,Allen & Unwin,1910
Twilight,Stephenie Meyer,Allison and Busby,1998
The Hunger Games,Suzanne Collins,Alyson Books,1981
Animal Farm,George Orwell,American Graphics Institute,1942
Jane Eyre,Charlotte Brontë,André Deutsch,1962
Brave New World,Aldous Huxley,Andrews McMeel Publishing,1944
The Lord of the Rings,J. R. R. Tolkien,Anova Books ,1992
New Moon,Stephenie Meyer,Anvil Press Poetry,1929
Angels & Demons,Dan Brown,Applewood Books,1923
The Fellowship of the Ring,J. R. R. Tolkien,Apress,2007
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Arbor House,1971
Fahrenheit 451,Ray Bradbury,Arbordale Publishing,1928
Wuthering Heights,Emily Brontë,Arcade Publishing,2003
Life of Pi,Yann Martel,Arcadia Publishing,1949
Lord of the Flies,William Golding,Arkham House,1914
Eclipse,Stephenie Meyer,Armida Publications,1911
The Time Traveler's Wife,Audrey Niffenegger,ArtScroll,2006
The Odyssey,Homer,Athabasca University Press,1918
One Hundred Years of Solitude,Gabriel Garcia Marquez,Atheneum Books,2003
Slaughterhouse-Five,"Kurt Vonnegut, Jr.",2003
